file_name,div,steel_grade,lot_no,GS,mix,mGS,TS,YS,RA,EL,min_con,max_con,avg_con,cnt_con,std_con,med_con
C-115_B410111000 N31267 304LDS1 130RB X100 GS=5.5 2.png,C,304LDS1,B410111000,5.5,X,-,600,310,81,67,0.5,22085.5,1920.67117117117,111,2471.78631607225,1304
C-119_B420042501 S56554 STS304CUS4 8.0WR X100 GS=5.png,C,STS304CUS4,B420042501,5,X,-,480,165,51,84,0,26371,2703.98717948718,78,3996.27347083277,1257
C-11_240722_C_#3.0-6_B3C0153901  N31080 304LDSL 250RB  X100 GS_3 1.png,C,304LDSL,B3C0153901,3,X,-,590,270,80,72,10.5,56691.5,8577.07407407407,27,12934.9777653775,2907
C-120_B420042501 S56554 STS304CUS4 8.0WR X100 GS=5 2.png,C,STS304CUS4,B420042501,5,X,-,480,165,51,84,54.5,77788.5,7751.74137931035,29,19203.1135413796,1161.5
C-121_B420042501 S56554 STS304CUS4 8.0WR X100 GS=5 1.png,C,STS304CUS4,B420042501,5,X,-,480,165,51,84,0,18830,2124.19117647059,102,2697.64870026106,1319.75
C-122_B410144900 N31275 304LDS1 480RB X100 GS=2  2.png,C,304LDS1,B410144900,2,X,-,590,295,80,69,94.5,215699.5,48630.4,5,84004.234452437,3332
C-123_B410144900 N31275 304LDS1 480RB X100 GS=2 3.png,C,304LDS1,B410144900,2,X,-,590,295,80,69,247.5,160641,24685,10,46614.0898173503,7085.25
C-124_B410144900 N31275 304LDS1 480RB X100 GS=2.png,C,304LDS1,B410144900,2,X,-,590,295,80,69,143,55515,9647.44,25,14488.995035074,3554
C-125_B410144900 N31275 304LDS1 480RB X100 GS=2-1.png,C,304LDS1,B410144900,2,X,-,590,295,80,69,0,72241.5,9637.3,25,16270.4356106405,1955.5
C-126_B410111000 N31267 304LDS1 130RB X100 GS=5.5 3.png,C,304LDS1,B410111000,5.5,X,-,600,310,81,67,5.5,11420,1476.92857142857,140,1842.85382682426,852.5
C-127_B410111000 N31267 304LDS1 130RB X100 GS=5.5.png,C,304LDS1,B410111000,5.5,X,-,600,310,81,67,13,109033,6523.16176470588,34,18934.2779672991,965.75
C-128_B410144900 N31275 304LDS1 480RB X100 GS=2-4.png,C,304LDS1,B410144900,2,X,-,590,295,80,69,0,42123,6426.06756756757,37,10409.9074736666,1755.5
C-12_240722_C_#3.0-7_B390157300 N30483 304LDSL 280RB  X100 GS_3 1.png,C,304LDSL,B390157300,3,X,-,580,255,78,73,385.5,52133,9168.02,25,12695.8522214777,3129.5
C-131_B410131400 N31268 304LDSL 120RB  X100 GS=6.png,C,304LDSL,B410131400,6,X,-,605,280,81,64,0,33677.5,2891.97887323944,71,5055.18941247828,1092.5
C-132_B410131000 N31268 304LDSI 170RB X100 GS=5 1.png,C,304LDSI,B410131000,5,X,-,605,260,80,64,39.5,41354,7101.98387096774,31,9419.80875386636,3387.5
C-133_B410131000 N31268 304LDSI 170RB X100 GS=5.png,C,304LDSI,B410131000,5,X,-,605,260,80,64,3,47665,7094.11290322581,31,10772.3300813897,2236
C-134_B410135200 N31269 304LDS1 75RB X100 GS=6 1.png,C,304LDS1,B410135200,6,X,-,610,290,80,66,7,44050.5,4869.72727272727,44,8646.98887320593,2004.75
C-135_B410135200 N31269 304LDS1 75RB X100 GS=6 2.png,C,304LDS1,B410135200,6,X,-,610,290,80,66,0,100120,6771.046875,32,19695.6260370162,1623
C-136_B410135200 N31269 304LDS1 75RB X100 GS=6 3.png,C,304LDS1,B410135200,6,X,-,610,290,80,66,0,12376.5,1284.61023622047,127,2000.39087313662,426
C-137_B410135200 N31269 304LDS1 75RB X100 GS=6 4.png,C,304LDS1,B410135200,6,X,-,610,290,80,66,8.5,198576,11291.6,20,42995.0164584804,1056.25
C-138_B410135200 N31269 304LDS1 75RB X100 GS=6.png,C,304LDS1,B410135200,6,X,-,610,290,80,66,0,8727.5,1390.11824324324,148,1685.00071513487,764.5
C-139_B410143900 N31273 304LDSI 170RB X100 GS=5 1.png,C,304LDSI,B410143900,5,X,-,595,280,82,61,0,21492.5,4005.58771929825,57,5127.39815874194,2103
C-13_240723_C_#3.5-6_B3B0451007  N30995 304LDSL 280RB  X100 GS_3.5.png,C,304LDSL,B3B0451007,3.5,X,-,590,265,80,72,374,54998.5,11261.5476190476,21,14947.3219427307,4251
C-140_B410143900 N31273 304LDSI 170RB X100 GS=5 2.png,C,304LDSI,B410143900,5,X,-,595,280,82,61,22,149840,14512.5,16,35458.9503382961,3542.75
C-141_B410143900 N31273 304LDSI 170RB X100 GS=5 3.png,C,304LDSI,B410143900,5,X,-,595,280,82,61,650,102108,19347.875,12,33514.686720355,4869.75
C-142_B410143900 N31273 304LDSI 170RB X100 GS=5 4.png,C,304LDSI,B410143900,5,X,-,595,280,82,61,306.5,31518,9426.75,24,8359.67797176821,6469
C-149_B410143900 N31273 304LDSI 170RB X100 GS=5.png,C,304LDSI,B410143900,5,X,-,595,280,82,61,0,19319.5,3498.3984375,64,4147.15900231307,1801.5
C-14_240724_C_#4.5-4_B410130100 N31268 304LDSI 170RB X100 GS_4.5 1.png,C,304LDSI,B410130100,4.5,X,-,610,305,82,63,9,116184,4287.14,50,16531.9349185266,635
C-150_B410144000 N31268 304LDSL 110.png,C,304LDSL,B410144000,6,X,-,590,260,81,65,0,11371.5,970.028481012658,158,1458.00530056215,506.75
C-151_B410144000 N31268 304LDSL 110RB X100 GS6 2.png,C,304LDSL,B410144000,6,X,-,590,260,81,65,3,35242.5,5155.32142857143,42,8541.40948055652,1645.25
C-152_B410144000 N31268 304LDSL 110RB X100 GS6 3.png,C,304LDSL,B410144000,6,X,-,590,260,81,65,5.5,65946,8216.81481481482,27,16485.0723395374,1746.5
C-153_B410144000 N31268 304LDSL 110RB X100 GS6 4.png,C,304LDSL,B410144000,6,X,-,590,260,81,65,0,12174.5,1718.15163934426,122,2014.12614974521,999.25
C-154_B410154600 N31279 STS304SI 304.800RB X100 GS=3.5 1.png,C,STS304SI,B410154600,3.5,X,-,600,275,80,69,45.5,98274,13009.1666666667,18,23079.1754961769,3557.75
C-155_B410144000 N31268 304LDSL 110RB X100 GS6.png,C,304LDSL,B410144000,6,X,-,590,260,81,65,32.5,32929,4281.23,50,5599.66221053556,2055.25
C-156_B410154600 N31279 STS304SI 304.800RB X100 GS=3.5 2.png,C,STS304SI,B410154600,3.5,X,-,600,275,80,69,40,58313.5,5169.36842105263,38,10732.3815517415,1107.5
C-157_B410154600 N31279 STS304SI 304.800RB X100 GS=3.5 3.png,C,STS304SI,B410154600,3.5,X,-,600,275,80,69,0,51550.5,5318.96590909091,44,8717.8591730618,1850.75
C-158_B410154600 N31279 STS304SI 304.800RB X100 GS=3.5 4.png,C,STS304SI,B410154600,3.5,X,-,600,275,80,69,395.5,117532,23046.5,10,35775.6365484948,6149.5
C-159_B410154600 N31279 STS304SI 304.800RB X100 GS=3.5.png,C,STS304SI,B410154600,3.5,X,-,600,275,80,69,30,133148,23943.6,10,38693.1180255611,7504
C-15_240725_C_#5.5-4_B410111000 N31267 304LDS1 130RB X100 GS=5.5 4.png,C,304LDS1,B410111000,5.5,X,-,600,310,81,67,0,33492.5,3603.59482758621,58,6529.62866112726,988.25
C-160_B410395000 S56295 304LDS1 50.5RB X100 GS=5.5 1.png,C,304LDS1,B410395000,5.5,X,-,625,305,82,64,24,31679.5,4003.63461538462,52,7007.5957265309,1932.25
C-161_B410395000 S56295 304LDS1 50.5RB X100 GS=5.5 2.png,C,304LDS1,B410395000,5.5,X,-,625,305,82,64,0,8807.5,933.478571428571,210,1144.63058015108,603.25
C-162_B410395000 S56295 304LDS1 50.5RB X100 GS=5.5.png,C,304LDS1,B410395000,6.5,X,-,625,305,82,64,1,51260.5,2777.6301369863,73,6371.79812206938,983.5
C-169_B410526700 S56505 STS304HS2 5.5WR X100 GS=6.5 3.png,C,STS304HS2,B410526700,6.5,X,-,655,250,57,78,0,5777,201.525983146067,712,413.438315286315,80.75
C-16_240726_C_#5.5-7_B410395000 S56295 304LDS1 50.5RB X100 GS_5.5 4.png,C,304LDS1,B410395000,5.5,X,-,625,305,82,64,0,27453.5,1786.76851851852,108,3994.09691006263,441.75
C-17_240726_C_#6.0-5_B410479700 S56266 STS304HIS5 5.5WR X100 GS_6 mix9.png,C,STS304HIS5,B410479700,6,O,9,640,240,57,79,0,8731.5,252.266339869281,612,547.897143224228,85.75
C-18_240726_C_#6.0-6_B410536900 S56264 STS304HIS5 5.5WR X100 GS_6 3.png,C,STS304HIS5,B410536900,6,X,-,655,255,57,80,0,4819,201.603401360544,735,481.250279464885,22
C-19_B3B0040600 N30829 304LDSI 330RB X100 GS=2.5 1.png,C,304LDSI,B3B0040600,2.5,X,-,580,255,79,73,83.5,59892.5,14183,17,17349.1252932583,6358
C-1_#5.5-3_B390616200 S55607 STS304CUMS4 6.5WR X100 GS=5.5.png,C,STS304CUMS4,B390616200,5.5,X,-,485,175,50,84,40.5,21464.5,3788.55357142857,56,4956.1423999116,1329.25
C-20_B3B0040600 N30829 304LDSI 330RB X100 GS=2.5 2.png,C,304LDSI,B3B0040600,2.5,X,-,580,255,79,73,2,59569,9250.05769230769,26,12861.5163826095,4180.75
C-21_B3B0040600 N30829 304LDSI 330RB X100 GS=2.5 3.png,C,304LDSI,B3B0040600,2.5,X,-,580,255,79,73,2,52465.5,6964.78787878788,33,10062.2623322434,2747.5
C-22_B3B0040600 N30829 304LDSI 330RB X100 GS=2.5 4.png,C,304LDSI,B3B0040600,2.5,X,-,580,255,79,73,0,65967,7796.85483870968,31,13962.5409885866,1494
C-23_B3B0040600 N30829 304LDSI 330RB X100 GS=2.5.png,C,304LDSI,B3B0040600,2.5,X,-,580,255,79,73,1516.5,55643.5,21826.3636363636,11,17471.7988368411,20673
C-24_B3B0041000 N30829 304LDSI 330RB X100 GS=2.5 2.png,C,304LDSI,B3B0041000,2.5,X,-,575,245,80,71,114.5,36397.5,13149.6944444444,18,10433.6211583553,9220
C-25_B3B0041000 N30829 304LDSI 330RB X100 GS=2.5 3.png,C,304LDSI,B3B0041000,2.5,X,-,575,245,80,71,653,60899.5,19123.0384615385,13,19866.6881114531,10114
C-26_B3B0041000 N30829 304LDSI 330RB X100 GS=2.5 4.png,C,304LDSI,B3B0041000,2.5,X,-,575,245,80,71,5,30879.5,9622.5,25,8856.29079468374,7827.5
C-27_B3B0041000 N30829 304LDSI 330RB X100 GS=2.5.png,C,304LDSI,B3B0041000,2.5,X,-,575,245,80,71,10.5,47987.5,12231.375,20,15063.9843325687,6418.5
C-28_B3B0451002 N30995 304LDSI 231RB X100 GS=2 1.png,C,304LDSI,B3B0451002,2,X,-,585,255,79,71,61,42864.5,11076.7272727273,22,12508.1883895813,5299.75
C-29_B3B0451002 N30995 304LDSI 231RB X100 GS=2 2.png,C,304LDSI,B3B0451002,2,X,-,585,255,79,71,424,55334,14969.25,16,18396.1815186943,6859.25
C-2_B410395000 S56295 304LDS1 50.5RB X100 GS_5.5 3.png,C,304LDS1,B410395000,5.5,X,-,625,305,82,64,0,6721.5,1015.44444444444,180,1180.26939237627,637.5
C-30_B3B0451002 N30995 304LDSI 231RB X100 GS=2 3.png,C,304LDSI,B3B0451002,2,X,-,585,255,79,71,2,31464.5,9691.34,25,9785.89429609783,4554
C-31_B3B0451002 N30995 304LDSI 231RB X100 GS=2 4.png,C,304LDSI,B3B0451002,2,X,-,585,255,79,71,3,31985,11590.6666666667,21,9606.88894111846,8903.5
C-32_B3B0451002 N30995 304LDSI 231RB X100 GS=2.png,C,304LDSI,B3B0451002,2,X,-,585,255,79,71,39.5,36630,9255.71153846154,26,8604.83220031838,7164.75
C-33_B3B0550000 S55826 304LDS1 40RB X100 GS=7 -1.png,C,304LDS1,B3B0550000,7,X,-,645,290,74,56,0,6242,354.217622080679,471,556.024590185687,189
C-34_B3B0550000 S55826 304LDS1 40RB X100 GS=7.png,C,304LDS1,B3B0550000,7,X,-,645,290,74,56,0,6699,448.336787564767,386,632.144256216412,261.25
C-35_B3B0550000 S55826 304LDS1 40RB X100 GS=7-2.png,C,304LDS1,B3B0550000,7,X,-,645,290,74,56,0,4568.5,412.074162679426,418,630.23487913087,195.75
C-36_B3B0550000 S55826 304LDS1 40RB X100 GS=7-3.png,C,304LDS1,B3B0550000,7,X,-,645,290,74,56,0,6125,336.376024590164,488,506.045377082908,182.5
C-37_B3B0550000 S55826 304LDS1 40RB X100 GS=7-4.png,C,304LDS1,B3B0550000,7,X,-,645,290,74,56,0,5685,380.532366071429,448,608.502232653588,170
C-38_B410103001 N31262 304LDSI 240RB X100 GS=2.5 1.png,C,304LDSI,B410103001,2.5,X,-,580,265,81,71,1077.5,116705.5,27188.1666666667,9,34334.5332136611,15635
C-39_B410103001 N31262 304LDSI 240RB X100 GS=2.5.png,C,304LDSI,B410103001,2.5,X,-,580,265,81,71,398,132109,16923.2142857143,14,33606.1218698715,4656.25
C-3_B410515100 S56505 STS304HS2 5.5WR X100 GS=7 1.png,C,STS304HS2,B410515100,7,X,-,645,245,56,79,20,193281.5,6815.28125,32,33502.2443457472,510
C-40_B410103001 N31262 304LDSI 240RB X100 GS=2.5 4.png,C,304LDSI,B410103001,2.5,X,-,580,265,81,71,188.5,88375.5,22339.3181818182,11,27877.6718811381,14117.5
C-42_B410103001 N31262 304LDSI 240RB X100 GS=2.5 2.png,C,304LDSI,B410103001,2.5,X,-,580,265,81,71,0,56414,15371.9375,16,17474.3840028009,5654.75
C-43_B410547002 S56315 STS304CUS4 6.5WR X100 GS=4 1.png,C,STS304CUS4,B410547002,4,X,-,465,150,54,83,43.5,57376.5,6071.65384615385,39,11014.4636135529,3435
C-44_B410547002 S56315 STS304CUS4 6.5WR X100 GS=4 2.png,C,STS304CUS4,B410547002,4,X,-,465,150,54,83,1,54710.5,7488.734375,32,11265.6945871529,3959.75
C-45_B410547002 S56315 STS304CUS4 6.5WR X100 GS=4 3.png,C,STS304CUS4,B410547002,4,X,-,465,150,54,83,0,27763.5,4853.19791666667,48,5786.26752242215,3287
C-49_B390616200 S55607 STS304CUMS4 6.5WR X100 GS=5.5 1.png,C,STS304CUMS4,B390616200,5.5,X,-,485,175,50,84,0,10483.5,1580.32835820896,134,2038.96174752067,815.5
C-4_B410515100 S56505 STS304HS2 5.5WR X100 GS=7 SURFACE9.png,C,STS304HS2,B410515100,7,O,9,645,245,56,79,0,7184.5,429.19923857868,394,678.12429533477,200.5
C-50_B390616200 S55607 STS304CUMS4 6.5WR X100 GS=5.5 4.png,C,STS304CUMS4,B390616200,5.5,X,-,485,175,50,84,0,10810,1561.12222222222,135,1962.74902026296,842.5
C-51_B390616200 S55607 STS304CUMS4 6.5WR X100 GS=5.5 3.png,C,STS304CUMS4,B390616200,5.5,X,-,485,175,50,84,0,7460,1363.78289473684,152,1576.13233488684,703
C-52_B390616200 S55607 STS304CUMS4 6.5WR X100 GS=5.5 2.png,C,STS304CUMS4,B390616200,5.5,X,-,485,175,50,84,0,8687.5,1192.22093023256,172,1463.36632978326,607.5
C-53_B3B0451007  N30995 304LDSL 280RB  X100 GS=3.5 1.png,C,304LDSL,B3B0451007,3.5,X,-,590,265,80,72,378.5,48334,13664.7941176471,17,15932.7239566309,4727.5
C-54_B420042501 S56554 STS304CUS4 8.0WR X100 GS=5 4.png,C,STS304CUS4,B420042501,5,X,-,480,165,51,84,0,8081.5,1427.26551724138,145,1483.73468566035,999
C-55_B390157300 N30483 304LDSL 280RB  X100 GS=3 4.png,C,304LDSL,B390157300,3,X,-,580,255,78,73,0,149736,15995.1333333333,15,36365.1963762362,5274.5
C-56_B410131400 N31268 304LDSL 120RB  X100 GS=6 1.png,C,304LDSL,B410131400,6,X,-,605,280,81,64,0,5967,1188.8224852071,169,1158.2832523821,778
C-57_B3B0451007  N30995 304LDSL 280RB  X100 GS=3.5 5.png,C,304LDSL,B3B0451007,3.5,X,-,590,265,80,72,0,27885.5,6348.25675675676,37,7550.3519146744,3635
C-58_B3B0551500 S55826 304LDS1 50RB X100 GS=7 1.png,C,304LDS1,B3B0551500,7,X,-,650,395,79,57,0,3061.5,604.815436241611,298,581.207779296477,392.5
C-59_B3B0551500 S55826 304LDS1 50RB X100 GS=7 2.png,C,304LDS1,B3B0551500,7,X,-,650,395,79,57,0,4167.5,585.800324675325,308,594.835501843275,388.25
C-5_B410514800 S56505 STS304HS2 5.5WR X100 GS=7.png,C,STS304HS2,B410514800,7,X,-,640,235,54,77,0,7140.5,273.120840630473,571,544.648964154077,97.5
C-60_B3B0551500 S55826 304LDS1 50RB X100 GS=7 3.png,C,304LDS1,B3B0551500,3,X,-,650,395,79,57,0,5265,566.427215189873,316,625.088947660396,380.5
C-61_B3B0551500 S55826 304LDS1 50RB X100 GS=7 4.png,C,304LDS1,B3B0551500,4,X,-,650,395,79,57,0,3555.5,596.82119205298,302,547.005114702926,438.25
C-62_B3B0551500 S55826 304LDS1 50RB X100 GS=7.png,C,304LDS1,B3B0551500,7,X,-,650,395,79,57,0,7229.5,527.234328358209,335,667.242343038833,351
C-63_B3C0074900 N31074  304LDS3 85RB X100 GS=4 1.png,C,304LDS3,B3C0074900,4,X,-,585,250,84,69,10,53993,7071.07352941177,34,12266.6282696138,2593.5
C-64_B3C0074900 N31074  304LDS3 85RB X100 GS=4 2.png,C,304LDS3,B3C0074900,4,X,-,585,250,84,69,30,41551.5,7404.171875,32,9017.00149856628,4740.75
C-65_B3C0074900 N31074  304LDS3 85RB X100 GS=4 3.png,C,304LDS3,B3C0074900,4,X,-,585,250,84,69,10.5,43013,8242.37931034483,29,10283.033605507,5461
C-66_B3C0074900 N31074  304LDS3 85RB X100 GS=4.png,C,304LDS3,B3C0074900,4,X,-,585,250,84,69,261.5,65714.5,10797.9318181818,22,15130.1025114411,4742
C-67_B3C0153900  N31080 304LDSL 250RB  X100 GS=3 1.png,C,304LDSL,B3C0153900,3,X,-,585,265,80,73,178.5,27866,7404.203125,32,7693.95672636503,3968.25
C-68_B410131000 N31268 304LDSI 170RB X100 GS=5 2.png,C,304LDSI,B410131000,5,X,-,605,260,80,64,2,9293,2427.37640449438,89,2233.72638758909,1701
C-69_B3C0153901  N31080 304LDSL 250RB  X100 GS=3 3.png,C,304LDSL,B3C0153901,3,X,-,590,270,80,72,45,144950,26631.9444444444,9,43966.8270375167,8998.5
C-6_B410479800 S56271 STS304HS2 5.5WR X100 GS_6.5 2.png,C,STS304HS2,B410479800,6.5,X,-,645,240,56,78,0,7577,357.081914893617,470,811.202002279775,71.75
C-70_B3C0153900  N31080 304LDSL 250RB  X100 GS=3 4.png,C,304LDSL,B3C0153900,3,X,-,585,265,80,73,495,92451.5,21442.6818181818,11,31899.3640284801,5194.5
C-75_B3C0382200 N31173 304LDSI 251RB X100 GS=4 1.png,C,304LDSI,B3C0382200,4,X,-,595,255,78,72,0,28435.5,6667.85714285714,35,6527.25698302503,4902
C-76_B3C0382200 N31173 304LDSI 251RB X100 GS=4 2.png,C,304LDSI,B3C0382200,4,X,-,595,255,78,72,25,24951,6355.97222222222,36,5873.42591199317,5136.75
C-77_B3C0382200 N31173 304LDSI 251RB X100 GS=4 3.png,C,304LDSI,B3C0382200,4,X,-,595,255,78,72,0,33927.5,5294.60227272727,44,6546.85858878789,3860.5
C-78_B3C0382200 N31173 304LDSI 251RB X100 GS=4 4.png,C,304LDSI,B3C0382200,4,X,-,595,255,78,72,380.5,38051,18168.6923076923,13,13716.2822285981,16108
C-79_B3C0382200 N31173 304LDSI 251RB X100 GS=4.png,C,304LDSI,B3C0382200,4,X,-,595,255,78,72,16,22280.5,6028.30769230769,39,6127.69147104355,3446.5
C-7_#4.0-2_B3C0074900 N31074  304LDS3 85RB X100 GS_4 4.png,C,304LDS3,B3C0074900,4,X,-,585,250,84,69,74,137978.5,14000.0294117647,17,32690.7224100403,2152
C-80_B380297302 N30351 STS304SA 27RB X100 GS=4.5 1.png,C,STS304SA,B380297302,4.5,X,-,800,530,71,41,68,26806,5440.97674418605,43,6094.33533010272,3605
C-81_B380297302 N30351 STS304SA 27RB X100 GS=4.5 2.png,C,STS304SA,B380297302,4.5,X,-,800,530,71,41,0,15117.5,4717.4693877551,49,4451.15846811216,3417.5
C-82_B380297302 N30351 STS304SA 27RB X100 GS=4.5 3.png,C,STS304SA,B380297302,4.5,X,-,800,530,71,41,0,33208.5,5363.625,44,8057.63614820594,1454
C-83_B380297302 N30351 STS304SA 27RB X100 GS=4.5 4.png,C,STS304SA,B380297302,4.5,X,-,800,530,71,41,104.5,23611,4099.01785714286,56,4931.66630685625,2064.75
C-84_B380297302 N30351 STS304SA 27RB X100 GS=4.5.png,C,STS304SA,B380297302,4.5,X,-,800,530,71,41,0,30575,4943.22340425532,47,5737.82130126034,2624.5
C-89_B390157300 N30483 304LDSL 280RB  X100 GS=3 2.png,C,304LDSL,B390157300,3,X,-,580,255,78,73,0,51129.5,8645.28571428571,28,12282.3926643478,4014.5
C-8_#4.0-3_B410547002 S56315 STS304CUS4 6.5WR X100 GS_4.png,C,STS304CUS4,B410547002,4,X,-,465,150,54,83,38.5,178663.5,15654.8333333333,15,43781.7514792281,2619.5
C-90_B390157300 N30483 304LDSL 280RB  X100 GS=3 3.png,C,304LDSL,B390157300,3,X,-,580,255,78,73,113.5,35431,10493.5869565217,23,10907.7829549565,5079.5
C-91_B3C0155101  N31080 304LDSL 280RB  X100 GS=3 5.png,C,304LDSL,B3C0155101,3,X,-,585,245,80,73,195.5,224769,60794,4,94785.8624393691,9105.75
C-92_B3C0155101  N31080 304LDSL 280RB  X100 GS=4.png,C,304LDSL,B3C0155101,4,X,-,585,245,80,73,175,56722,14613.8125,16,16482.4791311439,6361.25
C-93_B410103000 N30829 304LDSI 240RB X100 GS=2 1.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,700,74247,13308.8333333333,18,19069.6113001521,7319.25
C-94_B410103000 N30829 304LDSI 240RB X100 GS=2 2.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,0,44535,6597.69444444444,36,9888.31595051409,1860
C-95_B410103000 N30829 304LDSI 240RB X100 GS=2 3.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,11.5,31872,7075.22727272727,33,8038.79532386248,3597.5
C-96_B410103000 N30829 304LDSI 240RB X100 GS=2 4.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,0,48395.5,10084.7708333333,24,11353.9747931609,7210.5
C-97_B410103000 N30829 304LDSI 240RB X100 GS=2.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,0,56306.5,8983.85185185185,27,12659.8615000431,2740
C-98_B410103000 N30829 304LDSI 240RB X100 GS=2 5.png,C,304LDSI,B410103000,2,X,-,565,235,79,71,52.5,90494,14098.8823529412,17,20440.225417867,6829.5
C-99_B410312901 S56295 304LDS1 50RB X100 GS=7 1.png,C,304LDSI,B410312901,7,X,-,,,,,0,2260,338.132780082988,482,390.62032537173,213.75
C-9_#6.5-5_B410479800 S56271 STS304HS2 5.5WR X100 GS_6.5.png,C,STS304HS2,B410479800,6.5,X,-,645,240,56,78,0,6833.5,302.97972972973,518,563.141089046189,106
D-0_#4.0-1_316LDS1 B3B0490201 X100 G.S=4.png,D,316LDS1,B3B0490201,4,X,-,540,235,85,70,41,25403.5,4967.51086956522,46,5139.75222132556,3081.25
D-100_304LDS1 B410112000 X100 G.S=6 -2.png,D,304LDS1,B410112000,6,X,-,595,275,78,64,0,13737.5,1953.32142857143,98,2154.33869446268,1290.75
D-101_304LDS1 B410112000 X100 G.S=6 -3.png,D,304LDS1,B410112000,6,X,-,595,275,78,64,2,8056,1636.53153153153,111,1669.98763047596,1156.5
D-102_304LDS1 B410112000 X100 G.S=6.png,D,304LDS1,B410112000,6,X,-,595,275,78,64,1,9808.5,1733.79523809524,105,1442.18138792997,1536.5
D-103_304LDS1 B410118500 X100 G.S=4.5.png,D,304LDS1,B410118500,4.5,X,-,595,285,83,64,2.5,20286,3733.26363636364,55,4358.159502958,2063.5
D-104_304LDS1 B410118500 X100 G.S=6.5(3).png,D,304LDS1,B410118500,6.5,X,-,595,285,83,64,5,74135.5,1688.39655172414,116,6926.66750604491,576.25
D-106_304LDS1 B410118500 X100 G.S=6.png,D,304LDS1,B410118500,6,X,-,595,285,83,64,0,6238.5,1130.45723684211,152,1276.0068005615,652
D-107_304LDS1 B410118500 X100 G.S=7.png,D,304LDS1,B410118500,7,X,-,595,285,83,64,0,8913,762.727272727273,209,1045.82601097748,459
D-108_304LDS1 B410119800 X100 G.S=6 -2.png,D,304LDS1,B410119800,6,X,-,610,265,77,68,0,9013,2250.93529411765,85,2089.15848917021,1747
D-109_304LDS1 B410137100 X100 G.S=5 -3.png,D,304LDS1,B410137100,5,X,-,590,260,78,66,45,10036.5,2985.89393939394,66,2775.86749137278,2049.25
D-10_STS304SX B410604800 X100 G.S=5.5.png,D,STS304SX,B410604800,5.5,X,-,625,285,80,66,0,52867.5,5059.23255813954,43,10010.5104708889,1335.5
D-110_304LDS1 B410130700 X100 G.S=5.5.png,D,304LDS1,B410130700,5.5,X,-,605,235,78,66,0,9018,1177.86824324324,148,1735.58322559824,530.75
D-111_316LDS1 B410160600 X100 G.S=1.png,D,316LDS1,B410160600,1,X,-,530,250,84,68,6916.5,187092,49025,5,69299.0100773453,18701
D-112_304LDS1 B410119900 X100 G.S=5.5.png,D,304LDS1,B410119900,5.5,X,-,605,275,78,66,0,10129,1275.48639455782,147,2191.37764650706,114
D-113_STS316VARS2 B350603302 X100 G.S=4.5.png,D,STS316VARS2,B350603302,4.5,X,-,585,200,63,83,0,30209.5,3232.9140625,64,5081.47049687229,1462.75
D-114_STS316VARS2 B350603302 X100 G.S=4.5 -2.png,D,STS316VARS2,B350603302,4.5,X,-,585,200,63,83,0,19872,2625.125,76,3796.47389997492,1103.75
D-115_STSXM7S3 B420440700 X100 G.S=5.5 -2.png,D,STSXM7S3,B420440700,5.5,X,-,,,,,0,9521.5,2004.70744680851,94,2188.88806952343,1070.5
D-116_STS316VARS2 B3B0507505 X100 G.S=4.5.png,D,STS316VARS2,B3B0507505,4.5,X,-,565,200,54,84,25,18093,3109.296875,64,3812.86774836903,1326
D-117_EP316LVVS1 B42P049300 X100 G.S=5.png,D,EP316LVVS1,B42P049300,5,X,-,505,220,53,,0,15122.5,2446.29220779221,77,3048.78464645484,1304
D-118_STS316VAR B3B0507407 X100 G.S=4.5.png,D,STS316VAR,B3B0507407,4.5,X,-,540,200,60,82,4.5,19300.5,3266.34426229508,61,3968.02815603131,2047
D-119_STS316VARS2 B3B0507505 X100 G.S=4.5 -2.png,D,STS316VARS2,B3B0507505,4.5,X,-,565,200,54,84,2,19266,3648.30357142857,56,3909.541103504,2432.5
D-11_STS304S1 B380392201 X100 G.S=1.5.png,D,STS304S1,B380392201,1.5,X,-,580,245,81,73,62,61530,17241.6785714286,14,17852.1858801732,9927
D-120_STS316VARS2 B3B0507505 X100 G.S=5.png,D,STS316VARS2,B3B0507505,5,X,-,565,200,54,84,6,12372.5,2143.85975609756,82,2706.13505926629,1165.75
D-121_EP316LVVS1 B42P051800 X100 G.S=5 -2.png,D,EP316LVVS1,B42P051800,5,X,-,500,225,52,,0,13275,1292.47983870968,124,2025.05747668251,577
D-125_304LDS1 B410396200 X100 G.S=7 -3.png,D,304LDS1,B410396200,7,X,-,625,260,79,65,0,8130,759.785714285714,210,1074.86524483668,393.75
D-126_EP316LTPS6 B42P034700 X100 G.S=7.png,D,EP316LTPS6,B42P034700,7,X,-,550,240,50,,0,4792.5,471.334470989761,293,729.437226903479,255
D-127_STS316LS1 B420168100 X100 G.S=7.png,D,STS316LS1,B420168100,7,X,-,570,255,82,62,0,4748.5,783.850828729282,181,893.982266415313,389
