file_name,div,steel_grade,lot_no,GS,mix,mGS,TS,YS,RA,EL,min_con,max_con,avg_con,cnt_con,std_con,med_con
B-258_STS304CUS B410068707 X100 G.S=4 5.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,0,8608,1609.56106870229,131,1713.43821685761,1040
B-259_STS304CUS B410068707 X100 G.S=4 6.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,13.5,15555.5,2414.2032967033,91,2654.06641455075,1545
B-25_304LDS1 B3B0040801 X100 G.S=2 4.png,B,304LDS1,B3B0040801,2,X,-,580,255,80,73,898.5,54587.5,11521.5714285714,21,12613.9332875592,7901.5
B-260_STS304CUS B410068707 X100 G.S=4 7.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,2,10350.5,1298.73899371069,159,1590.91736602613,774
B-261_STS304CUS B410068707 X100 G.S=4 8.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,0,14119,2231.17857142857,98,2563.42532546487,1215.75
B-262_STS304CUS B410068707 X100 G.S=4 9.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,0,21629.5,2841.37974683544,79,3720.59926881188,1551
B-263_STS304CUS B410068707 X100 G.S=4.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,0,9049,1854.76724137931,116,2096.41091226525,1241
B-264_STS304CUS B410069400 X100 G.S=3 3.png,B,STS304CUS,B410069400,3,X,-,460,160,51,82,0.5,15395,4010.43859649123,57,3901.65746951055,2868
B-265_STS304CUS4 B420042400 X100 G.S=4.5 2.png,B,STS304CUS4,B420042400,4.5,X,-,475,165,50,83,6,14923,2208.77777777778,99,2906.901278256,989.5
B-26_304LDS1 B3B0040801 X100 G.S=2 5.png,B,304LDS1,B3B0040801,2,X,-,580,255,80,73,81,75673,24665.3,10,26619.9708407053,12847.25
B-272_STS304CUS4 B420179503 X100 G.S=5mix8 3.png,B,STS304CUS4,B420179503,5,O,8,470,180,47,83,0,17319.5,1885.79385964912,114,2756.72963409338,975.25
B-273_STS304CUS4 B420179503 X100 G.S=5mix8 4.png,B,STS304CUS4,B420179503,5,O,8,470,180,47,83,0,8907.5,1349.14379084967,153,1577.75804542789,797
B-274_STS304CUS4 B420179503 X100 G.S=5mix8 5.png,B,STS304CUS4,B420179503,5,O,8,470,180,47,83,0,9028.5,1482.81914893617,141,1720.00470195279,826.5
B-275_STS304CUS4 B420179503 X100 G.S=5mix8.png,B,STS304CUS4,B420179503,5,O,8,470,180,47,83,1,14742,1903.08849557522,113,2676.30294232009,1099.5
B-276_STS304CUS4 B3B0557000 X100 G.S=3 3.png,B,STS304CUS4,B3B0557000,3,X,-,460,150,51,82,3,45778.5,7245.60606060606,33,10942.889586918,2520
B-277_STS304CUS4 B3B0557100 X100 G.S=3 3.png,B,STS304CUS4,B3B0557100,3,X,-,450,155,53,82,476.5,151833.5,23998.15,10,43887.1487932686,7329.25
B-278_STS304CUS4 B3B0557100 X100 G.S=3 5.png,B,STS304CUS4,B3B0557100,3,X,-,450,155,53,82,9.5,32120,5053.57777777778,45,6674.75344776083,2202
B-279_STS304CUS4 B3B0557005 X100 G.S=3.png,B,STS304CUS4,B3B0557005,3,X,-,470,175,53,79,382,229187,47535.7,5,90833.4984923514,2303
B-27_304LDS1 B3B0040801 X100 G.S=2 6.png,B,304LDS1,B3B0040801,2,X,-,580,255,80,73,83,65745.5,12960.2368421053,19,18656.8809067215,6993.5
B-280_304LDS1 B420087300 X100 G.S=5 3.png,B,304LDS1,B420087300,5,X,-,595,245,80,66,0,8819,1706.34274193548,124,1728.23402122651,1273
B-281_304LDS1 B420087300 X100 G.S=5 4.png,B,304LDS1,B420087300,5,X,-,595,245,80,66,0,11993,1686.08,125,1890.21018556138,1150
B-282_304LDS1 B420087300 X100 G.S=5 5.png,B,304LDS1,B420087300,5,X,-,595,245,80,66,0,12417,1884.26991150442,113,1873.53277464761,1466.5
B-283_304LDS1 B420087300 X100 G.S=5.png,B,304LDS1,B420087300,5,X,-,595,245,80,66,30,166782,8207.55555555555,27,31171.6661805098,1333
B-284_304LDS1 B420092100 X100 G.S=4.5 2.png,B,304LDS1,B420092100,4.5,X,-,595,260,80,64,0,164177.5,17962.6153846154,13,43043.4284809021,1722.5
B-285_304LDS1 B420092100 X100 G.S=4.5 4.png,B,304LDS1,B420092100,4.5,X,-,595,260,80,64,0,20158,4138.60909090909,55,4527.08791176253,2344
B-286_304LDS1 B420092100 X100 G.S=4.5 5.png,B,304LDS1,B420092100,4.5,X,-,595,260,80,64,52.5,108820.5,21666.5,11,35472.1717682262,2719
